Solastanomicon/&DwarfFemaleName9Title	Bronnura
Solastanomicon/&DwarfFemaleName10Title	Dearma
Solastanomicon/&DwarfFemaleName11Title	Jenrin
Solastanomicon/&DwarfFemaleName12Title	Nisleen
Solastanomicon/&DwarfFemaleName13Title	Misnan
Solastanomicon/&DwarfFemaleName14Title	Jenndora
Solastanomicon/&DwarfFemaleName15Title	Renmera
Solastanomicon/&DwarfFemaleName16Title	Nasnyl
Solastanomicon/&DwarfFemaleName17Title	Brallesyl
Solastanomicon/&DwarfFemaleName18Title	Torthiel
Solastanomicon/&DwarfFemaleName19Title	Myrnera
Solastanomicon/&DwarfFemaleName20Title	Bretri
Solastanomicon/&DwarfMaleName10Title	Gergrom 
Solastanomicon/&DwarfMaleName11Title	Granren
Solastanomicon/&DwarfMaleName12Title	Thurdram
Solastanomicon/&DwarfMaleName13Title	Grilgarn
Solastanomicon/&DwarfMaleName14Title	Doldahr
Solastanomicon/&DwarfMaleName15Title	Vongram
Solastanomicon/&DwarfMaleName16Title	Balmar
Solastanomicon/&DwarfMaleName17Title	Thalmor
Solastanomicon/&DwarfMaleName18Title	Thendrar
Solastanomicon/&DwarfMaleName19Title	Kramgrim
Solastanomicon/&DwarfMaleName20Title	Grilthrum
Solastanomicon/&DwarfSurName8Title	Trollfury
Solastanomicon/&DwarfSurName9Title	Greyforged
Solastanomicon/&DwarfSurName10Title	Deeprock
Solastanomicon/&DwarfSurName11Title	Flintbrew
Solastanomicon/&DwarfSurName12Title	Onyxheart
Solastanomicon/&DwarfSurName13Title	Ingotbuster
Solastanomicon/&DwarfSurName14Title	Oakenbrand
Solastanomicon/&DwarfSurName15Title	Caskbender
Solastanomicon/&DwarfSurName16Title	Duskhood
Solastanomicon/&DwarfSurName17Title	Magmapike
Solastanomicon/&DwarfSurName18Title	Ashmaul
Solastanomicon/&DwarfSurName19Title	Flintmail
Solastanomicon/&DwarfSurName20Title	Wargranite
Solastanomicon/&ElfFemaleName17Title	Lythienne
Solastanomicon/&ElfFemaleName18Title	Nanthaliene
Solastanomicon/&ElfFemaleName19Title	Ilythyrra
